日本語,English,説明
カーライフ, car life, 自動車関連商品やサービス
トイ＆バラエティ, toy and variety, 様々な玩具とエンターテイメント商品
ホームエレクトロニクス, home electronics, 家庭で使う電子機器やデバイス
スマホパーツ, smartphone parts, スマートフォンの部品やアクセサリー
ラブグッズ, adult goods, 大人向けの商品（セクシャルヘルス商品など）
パーティーグッズ, party goods, パーティーで使用する飾りやアイテム
理美容家電, Beauty treatment device, 美容や体のケアに使う家電製品
ホームインテリア, interior decoration, 家の内部装飾やデザインに関連する商品
ホームグッズ, home goods, 家庭で使用する一般的な商品
カーペンター＆ツール, carpenter tool, 大工道具やDIYに使う工具
サイクル, bicycle, 自転車と自転車に関連する商品
寝具, bedding, 寝るための商品（ベッド、枕、シーツなど）
プロテイン・トレーニング, protein and training, プロテインサプリメントとトレーニング用品
アウトドア, outdoor, 野外活動に関連する商品
フューチャープロダクト, future products, 未来志向の製品や革新的なテクノロジー商品
デイリーグッズ, daily use items, 日常生活で使用する一般的な商品
ヘルスケア, healthcare, 健康管理に関連する商品
ペット＆ガーデン, pet and garden, ペット用品と庭に関連する商品
メンズインナー, men's underwear, 男性用の下着
ファッション＆カバン, fashion and bag, ファッションアイテムとバッグ
ブランドファッション, brand fashion, ブランド名のある高級ファッションアイテム
インポート, import, 海外から輸入された商品
シューズ, shoes, 靴
レディス・キッズインナー, Women’s and kid's underwear, 女性と子供の下着
アロマ, aroma, アロマセラピーと香り関連の商品
コスメ, cosmetics, 化粧品
ステーショナリー, stationery, 文房具
レディスファッション雑貨, Women’s fashion accessories, 女性向けのファッションアクセサリー
スキンケア, skin care, スキンケア製品
フード＆ドリンク, food and drink, 食べ物と飲み物
デイリー, daily food, 日常食品
リカー＆ワイン, liquor and wine, アルコール飲料とワイン
ギフト, gift, プレゼント用の商品
菓子・珍味, snack and delicacy, スナックと珍しい風味の商品
デリカ, side dish, 副菜
フレッシュミート, fresh meat, 新鮮な肉製品
ベジタブル・フルーツ, vegetable and fruits, 野菜と果物
フレッシュフィッシュ, fresh fish, 新鮮な魚製品