text,label
オートチャージで丁寧に教えてくれた。感謝。,1
スプレッドで、明治スプレッタブルという商品を置いてほしい。しょうゆとマヨネーズは安めにしてほしい。お菓子はスーパーと値段がほぼ変わらないので季節ものの商品は安めに置いて頂くとかしたらわざわざ買いに行く価値があるかと思います。,1
シャンプーのジュレームを安くしてほしい,1
いつも、Aさんの対応が素晴らしい。これからも頑張ってください。,1
頻繁に売り場が、急に変わるのが困ります。,0
店員の対応の良し悪しで選んでしまう,2
長い間レジ待ちした挙げ句、店員と一緒に現れた人に先を越された。気分悪い。,0
安いビールを入れて欲しいです！大宮店に。,1
寝具のマットレスの種類を多くして欲しい,1
たくさん安い商品をそろえてほしい,1
よかった。,1
ビッグピート、バスカーなどウイスキーの種類が増え、ドンキでウイスキーを買うという選択がひろがりました,1
レジの店員が丁寧に服を畳んでビニール袋に入れてくれた。,1
いつも通り丁寧にして頂いている,1
いつも買いやすい。,1
駐車場の高齢者スペースを少ない。増やしてほしい,0
クーポンはあるが、商品がないのがここ何回かある。仕方ないが残念。,0
Tさんのレジがスムーズで早かった,1
大津店のスタッフさんはみんな対応がいいです。引っ越して来てから私達家族は1度も嫌な思いとかした事がないので凄く嬉しいです。これからもたくさん利用します！,1
スムーズでした,1
いつも優しい店員さんがいる,1
近くにあるロジャースの方が安いものが割とあった。,1
買いたい商品を探していましたが棚出しスタッフが忙しそうで質問が出来なかった,2
カップフヌードルの合体シリーズがどこよりも高くて残念,0
欲しいな〜っと思った時に？いくらするのか？その商品の値段が分からなくて買えなかった せっかくの激安商品かも知れないのに凄く残念な思いをしました,0
カートが使いにくい！落ちる！まとめ買いは他で買う。,0
会計も空いていてスムーズにできてとても良かった。,1
レジ待ち時間が長いです 。,0
目薬が欲しい。,1
鶏肉、安くて美味しいのでよく買いますが、骨が取れていなく残っている事が多くて残念です。,0
マタニティ用品を取り扱ってほしいウェアや下着、レギンス、葉酸サプリなど 現状見当たらないので 。,1
開いてるレジがわかりにくいのが残念 店内のWi-Fiにつながっても、弱い為、アプリが起動しない アプリを起動させる為、いちいちWi-Fiを切らなくてはならないのがとても面倒 更に、元に戻すのを忘れ、自宅のWi-Fiにつながっでいるものだと思いギガを使ってしまい失敗することも 繋がらないWi-Fiなら、やめてほしい 。,0
ドンキブランドを買ったら10%ポイント還元をまたしてほしい！。,1
レジ担当の方がお客様の顔見ながら声かけしていて気持ちよかったです ありがとうございます どの方も同じように接客してくれたらいいですね 。,1
今日も快適にお買い物が出来ました 有難うございました 。,1
お店が綺麗で、商品も綺麗に陳列してありよかったです 。,1
毎回わくわくしながらお買い物楽しんでいます♪安さどこにも負けてないと私は思います！！♫。,1
商品にホコリかぶっていました 。,0
声が聞き取りづらい。,0
品揃えがよく買い物に行くのが楽しみです 。,1
コーンドレッシング置いてほしぃ！。,1
プラネット組をありがとう。,1
品数豊富で安い　ド商品楽しいです。,1
クジてなかなか当たら無いのやな～。,0
Bさんgood。,1
Webクーポンしか割り引きのない物は買わない！同じ会員で､区別するか？。,0
申し分ありませんでした 。,2
レジが親切でした！。,1
惣菜が安くなっててよかった。,1
クールグリースの再度取り扱いお願いします！。,1
レジをもっと解放してて欲しい夕方頃でお客さん多いのにあまり解放してないせいで結構待ちました。,0
駐車する際、空きスペースが少し少ないような気がします 駐車場の立体化できれば、便利になります 。,2
キャリーケースをもう少し安くしてほしいです 。,0
一階レジの朝の方々は、比較的皆さん笑顔で対応して頂きますので、気持ちがいいです 2階中央レジの方は、全体的に少しそっけない感じがします 。,2
商品にけっこう埃がたまってる。,0
お昼に来店させてもらいました 品出しなど店員さん達も忙しく働いているのに、男性店員(眼鏡の人)ボォーっと突っ立ってボソボソ何か独り言?!言いながら手遊び 店長さんも注意して見た方がいいのでは?!他の真面目に働いてる人が可哀想です 。,0
特にありません。,2
特に不満やトラブルはありません。,1
いつも安くてスーパー変わりに楽しみに来ています。,1
特に有りません。,2
レジ解放、もう少し、多めに、してください。,1
バイトがやる気ないな 。,0
レジに並ぶと直ぐにCさん（女性の方）が手を上げて会計に案内してくれました 急いでいたので、スムーズに支払いができ、助かりました 。,1
少しでも並ぶと閉鎖しているレジが開く すごいと思う。,1
家電 もーひと頑張り下げてほしい。,1
サービスカウンターの店員さんが対応が良いです。,1
ネスカフェ　ゴールドブレンドの120gを売って欲しい 。,1
レジに居た外国の店員さんの日本語が下手で分かりにくかった 。,2
レジの方は印象が良いです せっかく範囲が広いのに空いてるレジが少ないのが不満です もっと沢山解放してほしいです 。,0
従業員のYさんの応対等が良かった、気配りもできていました 。,1
柔軟剤のモルトを入荷してほしいと言い続けてきました すごく安かったので売り切れ次第終了でしょうけどほんとにほんとに嬉しかったです！！買いだめしちゃいました！！またお願いします！！ニュースして頂き有難うございました。,1
●エバラ｢ぬか漬けの素(ボトル)｣を置いて欲しい●駐車場誘導係の方の対応が明解＆的確、且つスピーディーで安心して入出庫できとても有難い。,1
品だしが忙しいとは思いますが声掛けしてどいてもらいましたが少し怒ってたかな？と感じました。,2
通路には商品を置かないでほしいせめてカートが通れるようにしてほしい。,0
広告商品が前面になく奥にあり見つけられず、2回も店員に聞きました 指示により別の店員の方がその場所まで案内してくれましたが、棚を指差しただけで顔も見ずに立ち去りました その上、値段も通常価格であり訂正してもらいました 売場名だけ聞いても辿り着かない事もあるし初めから案内するべきではないでしょうか 10分以上散々探した後で大変疲れました 。,0
特に問題ありませんでした。,2
paypay決済が出来るようにして欲しい 。,1
クーポンがみつけられず、購入しなかった 。,0
カゴやレジバッグにキレイに詰めて貰えました ありがとうございました。,1
対応は良かった、でも普通かな？。,2
前は店員さんがつかまらなかったけど、今日は平日の昼ということもあってか、店員さんが沢山いて、食品の場所が分からなかったけど、丁寧な対応をしてもらった 。,1
アプリのアップデートでクーポンが分からないのがあり、レジで店員さんに聞いたけど、あ〜アップデートで難しく分かりませんと言われ対応してくれませんでした わからないから聞いてるのに、対応しないなら聞く意味無いとおもいました 。,0
駐輪場が狭い 。,0
会計レジの方、とても丁寧で好感が持てた 。,1
凄く良いお店でした また行きたいです 。,1
とっても良い対応ありがとうございます。,1
豆乳を安くしてほしいです 。,2
従業員の対応が親切でとても良かったです 。,1
特になし。,2
豚アレルギーの為　ターキーのハムやウインナーを取り扱ってくれたら嬉しいです。,2
レジの、店員さんの手際がよかった 忙しいでしょうに、笑顔で対応してもらいました ただ、売り場の店員さんがレジの方に比べると、寂しい感じだった 。,1
従業員の方、親切にして頂いてますよ！案内もして頂いてます 。,1
このくじ当選した事が無いのですが、当たる人いるんですか？とても素朴な疑問です 。,2
プレチケの使い方を教えてくれた 。,1
シェイバーの替え刃を安くしてほしい！。,0
ポリ袋のところに　スポンジがなく食品を買うことが多いので　困ります 。,0
カップラーメンを安くしてほしい 。,0
買い物かごを荷物台迄運んていたレジの人がいて親切だなと思った。,1
アスパラガスの商品を買いに行ったが見当たらなかったです 。,0
混んでいるレジに誘導するスタッフがレジを手伝っていたのがよかったです スタッフが機能的に連携していました 。,1
レジの方、丁寧な対応で、買い物に来てよかったと思いました。,1
特になし。,2
マシュマロがありませんでした。,0
やすい。,2
那珂川店とは違った感じでよかった。,1
お目当てのシャケフレークが売り切れでなかったテレビで出てた商品なので多めに用意してほしい。,0
・豆腐干を仕入れて欲しい ・ドンキのカナダ産の豚肉の脂の甘味が大好きです  私は同じカナダ産でも、深江橋のドンキのカナダ産の豚肉が好きです 産地を変えないで欲しい。,1
特にありません。,2
駐車場が凸凹していてカートがおしずらい。,0
今はなし。,2
特に無い。,2
安くて嬉しいです 行くのが楽しみです 。,1
前回も書かせて頂きましたが、従業員さんの対応はいつも丁寧なので、安心して買い物ができます 有り難うこざいます 。,1
保湿剤とかが置いてある通路のド真ん中に店員さんが荷物を置いていて通れなかった(茶髪でウエーブのかかった髪の毛のおばさん、その人だけ毎回挨拶しない、一度商品を貰おうとして声をかけたら「今、むり！」と断られた)。,0
レジ担当者すこぶる無愛想だった こういう人はココで珍しいですね…バイトという印象ではなかったが喋り方もブッキラボウで丁寧さに欠けていたし品物の扱いも雑だった。,0
カロリーメイトのブロックタイプはドラックストアより値段が高いです。,2
レジが混んでいる時間帯でも快く対応してくださる店員さん方にいつも感謝しております 。,1
ご当地の果物、野菜を充実させて欲しい。,1
Nice 。,1
特に無いなっしー。,2
良かったです。,1
試着室を用意してほしいです。,1
子供用マスクの在庫が少なかったので、常に置いてあると良いと思う。,1
特にありません。,2
Wさんの対応は、挨拶・笑顔・案内・確認・振る舞いは申し分ありません 若いと思いますが、しっかりとされてます。,1
水木クーポンの出し方が分かりづらい。,0
目線を合わさないのは色々な理由があるにしろ物の扱いが雑すぎます、因みに女性の方です。,0
ジャスミンティーのペットをケースで買いたいが箱入りがない時が多いのでバラで買っているケースでの在庫を置いてほしい。,1
特になし。,2
何度もアンケートに書いてますが、トイレットペーパーのシングルを置いて欲しいです。,1
これからも利用させていただきます 。,1
ボディークリーム等の保湿系の商品が高いので、安価な商品も取り扱ってほしいです。,0
カット野菜キャベツ安くしてくださいね。,0
冷凍食品の日清台湾混ぜそばがなくなったので、仕入れ復活させて欲しいです。,0
アプリのクーポンについても、丁寧に教えてくださいました 。,1
ゴートミルクボディシャンプー2リットルがお得で気に入った ラストワンだったので、入荷していたらリピしたい 。,1
新人さんだったので、特にないです これから頑張っていい接客してください 。,1
Tさん今日も気持ちの良い挨拶ありがとうございました。,1
売り場が広いので、ゆっくり買い物できました 初めて行ったお店だったので、商品探すのちょっと大変でした 。,2
しくじりコーナー、いいですね！。,1
レジすこし待った 。,2
衣料品に特化した店にして欲しいです ゲｰムとかは、要らない 年配の人ように種類を増やして欲しいです 。,1
特にないです 。,2
お得に購入できるからありがたいです 。,1
親切でした。,1
豆腐、納豆安くしてほしいです。,1
伊藤園のペットボトルで、からだいいこと黒豆茶500mlを安くいれてほしいですすごく香りが良くて美味しいです近郊で文具の事務キチで74円くらい？でありました。,1
R1　いつも利用してます 手頃な値段で買えて助かってます 。,1
空いているレジの方は、混んでいるレジに並んでいるお客様を誘導するともっと流れると思います。,1
マヨネーズを安くしてほしい 。,1
案内図が欲しい。,1
同じ種類のものはなるべく1箇所にまとめて陳列お願いします。,1
９時一番だと空いてていいけど商品の陳列であわただしい。,2
北海道商品を増やして欲しい。,1
こんなもんでしょう。,2
レジが並んでるにかなり。,2
加藤くんもっと頑張りましょうマジカカード会員でバーコード提示してるんだから千種香流店のステッカー引換券持ってるの知ってるよね❗こっちもいい忘れたからステッカーもらい損ないましたよ。,1
いつも頑張ってカート回収してくれています。,1
欲しいと思っていた車のワックスがクーポン対象になっていて嬉しかったです商品の前で悩んでいたら店員さんが声をかけてくださって、クーポンを使うことができました親切な対応に感謝です。,1
モヤシとリプトンのミルクティーを安くして欲しいです。,1
対応はとても良かったです!。,1
いつも楽しく買い物をしています。,1
レジでの対応が悪い事がある 袋をお願いしますって伝えても返事をしてもらえない！外国の方の方が優しくて丁寧です 。,0
キャットフードをもう少しお安くしてもらいたいです 。,2
ベビー用品をもう少し安くしてほしい。,2
とっても良い従業員が親切でした。,1
レジリーダー感じが良い。,1
北海道限定クラッシックビールが、無くなっていた 前回行った時、買えたのに残念 また、置いて下さい 。,0
店内は、品出し時間だと、荷物で通路が通れない事が良くありますが、床やカゴ、カートの整頓は、いつもきれいです が、あまり売れていない商品には埃がゴッソリでした 仕方ないと思いますが、埃がっ…とは内心思ってしまいます 。,2
誰も親切丁寧です。,1
目玉商品期待してます 。,1
財布を忘れてしまいすぐ取りに伺いました 声をかけたスタッフさんも財布を持ってきて頂いたスタッフさんも丁寧に優しく対応して下さいました ありがとうございました また買い物に行きます 。,1
メガネ類（サングラス等）は、多く出品していますが、一方、メガネケースは、1種類かつ色も1色しかありませんでした もう少し、種類を多く（最低、色だけでも）取り扱ってほしいと思います 。,0
当日賞味期限の格安販売がうれしいです！。,1
ガリガリ君を複数購入したときレジを通したら袋の中で商品が割れているのに気がついたスタッフの方が新しい商品とその場ですぐ交換してくれたおかげで助かりました。,1
ドンペイシールが欲しくて入店したんですが貰い方を知らず教えていただきゲットできました 人気商品のクーポンも定期的に出してほしいです 。,1
従業員のOさんは、いつも対応が大変良いです 昼間の女性は、全て感じも良いですね！カクテキキムチ100円で、販売して欲しい‼️。,1
カゴにセットするタイプの買い物バックにレジの際商品を入れて欲しい他のスーパーやドラッグストアではしてくれるお店があってレジが終わってそのまま帰れるからとても助かります。,1
以前の商品などの配置が良かった！今迷路みたいで疲れる一方通行にしたのか？？。,2
クーポンを所有していたのに商品がなかった店員さんの対応イマイチでした、。,0
びっくりする様な、安い物をもっとふやしてほしい！。,1
通路を広く。,1
週末のレジの稼働台数を増やして欲しい 。,1
いつも良いお店と思います 今後もよろしくお願いします 。,1
ドンキのメンズ「加圧Tシャツ」を愛用してますが、最近置いてる店舗が少ない 生産中止にせず、ずっと売っていてほしい商品です 。,1
マーガリンが値上がっていました ショック‼️。,0
いい商品がある。,1
とても親切な対応に感謝致しました 良い買い物が出来ました 。,1
カートの返却場所が増えるといいなと思います 。,1
通りかかった店員さんに、秋のハッピーお宝くじの当選番号の掲示場所を聞いたら、優しく案内してくれた 。,1
仕事が早いベテランの店員さんのレジを選びがちです スマホから会員コードの読み取りにはコツがいるようで、慣れてない店員さんはかなり時間がかかる時があります 「金券や電子マネーのご使用はないですか？」の質問に毎回答えるのは面倒なので正直無くしてほしいです 。,2
いつも利用させてもらっています 店員さんの対応はいつも良くして貰っております 今は物価高で大変だけどドンキさんにはいつも助かっております これからもよろしくお願いします 。,1
素敵な笑顔に癒されました。,1
説明しづらいです 。,2
2.2ミリの太麺パスタを入れて下さい 。,2
クーポンの商品が何処にあるか分からず店員さんに尋ねると探しに行ってなかなか戻って来ず他の店員さんを連れて来て探し回りやっと見つかると、店員さん同士が、「何処にあるか分かりにくいわ」と話していました 店員さん達がそんな事を言うのだから私達が分からないのは頷ける 店員さんに何処に何があるか分かっていて欲しい。,2
サービスカウンターの方の対応が親切丁寧で良かった。,1
夕方６時、でもレジ3ヵ所 長蛇の列でもレジ増えない！アイスなんてとても買えない‼️。,0
アプリのメッセージ、既読か未読かわかりやすいようにしてほしいです。,2
売り場の箱が空の物が目立つ 空の段ボール置いとく位なら場所縮小すればいいのに 広く歩ける方がいい。,2
愛想の良い店員さんが多いので気持ちよく買い物できてます 。,1
また値札とレジの金額が違いました 。,0
なし。,2
ドンペンお誕生日おめでとうございます！ふなっしー ソニック 丸山桂里奈さん 等からのおめでとうコメント動画を店頭で見れたので、うれしかったです 。,1
相変わらず、通路に商品のコンテナがあって邪魔なんですよね 。,0
なし。,2
猫のエサがもう少し安いと嬉しい 。,1
犬の洋服の種類がもう少しあったらいいなと思います 。,1
会計の列が少し動線悪かったです 。,0
対応よかったです 。,1
フルタのカカオ71%ビターショコラを取り扱いしてほしい 。,1
レジの方が親切でした。,1
ドンキ伊勢店のレジの店員さんは対応がすごくいいです 。,1
ベビーカーでエレベーターに乗る時、いつもお店の方が対応してくださって素晴らしい！。,1
レジの時にちょっとてまどいましたが聞いたらすぐ対応してくれました 。,1
納豆や漬物を安くして欲しい！。,1
お名前はわかりませんが、レジの方の対応が感じ良かったです！。,1
スタッフ皆さまに親切に対応して頂いております 。,1
店員の対応がよかったです　また来ます。,1
いつもはクーポンの発券機のところにラインクーポンの商品の紹介が掲示してあるのに今日はなかったので、柿の種を見過ごすところだった。,0
本日の朝の職員さんは、陳列しながらでも皆さん挨拶して下さって気持ち良かったです 。,1
朝の混雑の中　的確に精算をして頂き　よかったです。,1
老朽化が出てきてるように感じます お客さんは入ってるようなので、良い設備投資をお願いします 。,2
またボディメンテを入荷してほしい！箱買いします！。,1
レジのおばさんが対応よかった。,1
食料品の品出し中だったのでいつも以上に通路がとおりにくかった 冷凍庫が故障中みたいでクーポンの品が陳列されてなかった 。,2
今回時間なくて確認できませんでしたが野菜を4個で〇〇円のレジがよく間違ってます 今回も確認しながら4個購入したと思ったのにはじかれていて確認したかったのですが何円だけなので時間なくやめました 以前にも2回ほどありそのうち1回は100円以上違っていました この半年くらいでもし、今回もでしたら3回目です 注意して下さい。,0
カードを落として電話も店頭でも対応が良くて気持ち良かったです。,1
レジのZさんの対応が良く、大変満足しています 。,1
レジの方の対応がとても良かったです 。,1
迷路過ぎて迷う。,2
たまに値段のわからない商品があります。,2
とても良い。,1
男性従業員さんが研修中だったので、仕方ないのですが、分からない事だらけで、ベテランに聞きながらだったので、レジがかなり混雑していました。,2
売り場で聞きたいことがあっても、店員さんがなかなか見当たらない (レジの方は忙しそうで聞きにくいし、サービスカウンターまでは行きたくない)。,2
ペットボトル飲料を安くしてほしい 他店をあげて申し訳ないですが、カネスエはアクエリアス→５８円です。,0
いつも安くて助かります。,1
通路に空のカゴ台車が並んで置きっぱなしで棚の商品が見られない 何度10回も送っているがまったく改善される気配もない 買い物ができない。,0
昨今、値上げ、値上げで、大変、これはドンキホーテが絶対、徳と云う物をピーアールして欲しい、勝手乍。,0
アップデートしたマジカアプリ、クーポンのカテゴリがなくなった気がしますが見落としでしょうか？探しづらい感じがします。,2
以前指摘したのですが、クーポンは入手できても、対象の品物の在庫がまたありませんでした 本当に売る気はあるのでしょうか？在庫管理のずさんさが目立ちます 。,0
他店より安いので良く利用させて頂いております。,1
いつもありがとうございます 食品の位置が変更になったようで、お疲れ様でした いつもクーポン利用で購入しているお菓子が移動しており、メイン通路とお菓子コーナーを探しましたが見つからなかったです（ ;  ; ）しかし、お会計後に別の通路のところに移動してあるのを見つけて…少し悩ましかったです 。,2
値上がりの商品が多くなってきたので、よりお値打ちな商品をお願いします お値打ち価格で買えると嬉しくなってまた買いたくなります 。,0
このご時世値上がりは仕方ないけど値上げしておいて安値維持とか書かないでほしい。,0
これからもワクワクドキドキする商品や品揃え さらにそれを探す、まるで探検するかのような買い物ができる店舗づくりをお願いします！。,1
特筆事項ありません 。,2
チョコレート菓子が安くて助かってます！チョコレートが無い人生なんて考えられないので 。,1
レジが遅いうえに態度がわるい。,0
クーポン発券機の所在がわかりにくかった。,0
野菜を置いて欲しい。,2
今日もいいお買い物ができましたこれからも、良い品！を安く！でよろしくお願いします。,1
定員さんの対応は良いです しかしながら、キラキラシールプレゼントを得る為に、別のサービスカウンターまで移動するのは難儀な事 更に氏名まで記載され、簡易にして欲しい 知っていれば、モラわかなったです 会計時に、素早く受け取れる様にした方が良いと思いました また、フードコートが無くなり、レジの位置が移動してましたが、レジと買い物した商品を置く場所の空間が狭く、他の買い物客とぶつかりそうな距離 改善した方が移動し易く、お客さまの為になると感じました 。,2
季節の果物(梨、りんごなど)箱売りで安く売って下さい。,2
今日も、皆さん感じ良かったです 。,1
いつも親切丁寧です!日本人以外の方も、もう少し愛想が良ければもっと良いと思います 。,2
安い また来ます 。,1
間違えて買い物をしてしまい、返品の際、サービスカウンターの方が親切に対応して下さり、ありがとうございました 。,1
特になし。,2
て早くていい。,2
方言での店内アナウンスに好感が持てます 声も美しいので、流れると嬉しくなります 。,1
矢作のドンキ最高。,1
ネスカフェエコシステム105グラムのクーポンでも良いので、安く入れてほしい 何でも値上げになって、高くなって買えない 。,0
クーポン商品の配送が遅れており、また足を運ばなくてはならないのが近いところではない為に、手間でした 。,0
レジの接客は大変しっかりされてまして、気持ちよかったですよ 。,1
急にレジが混みだしても、直ぐに別のレジに人が入ってテキパキ会計を笑顔で進めてくださったので待たされている感覚はありませんでした。,1
商品の豊富さ感激。,1
ないです。,2
黒マー油を置いて欲しいです 。,2
サンリオの商品を安くしてほしい。,2
レジで対応して頂いた時、精算をしていた方とは別の店員さんが精算していた方に話しかけ、無言でレシートを渡されました レジも混雑しており、確認しなきゃならないことがあったのかもしれませんが、何も言わずにレシートを渡されそのまま対応を終えられたのは不快に感じました 。,0
クーポン商品の表示が、以前より分かりやすくなった気がする 。,1
POPがカートに当たって邪魔 POPを商品でおさえているから商品取るとPOPが落ちる 。,0
朝一は品出し中が多く、カートが通りにくい通路が多い客に気を使わせたらおしまいでは？。,2
レジの方々の対応がいつも良くて、気持ちがいいです お酒類が安いので、よく利用させてもらっています お酒の値段安いまま提供して下さるととても助かります！！。,1
ギフト券が使えるか尋ねたら丁寧に、対応してくれましたよ 。,1
中洲川端店のレジのかたは、親切丁寧！！。,1
レジがたくさんあるのは良いのですが並んだ列によっては、前の方の商品数やレジの方のさばき具合などばらつきがあるので、フォーク並びがいいと思います。,2
皆んな優しい 。,1
ブラブラ買物するには商品の陳列が独特で楽しめます。,1
子どもを抱いてたらレジの店員の男性がとても親切にカゴを運んでくれたり笑顔で対応してくれました。,1
特にありません 。,2
サービスカウンターのスタッフさんの対応が素晴らしい。,1
忙しそうでしたがテキパキしてました、。,1
店員さんの対応がよかった。,1
駐車場で高齢者の母をのせていたら、掃除の方がとおりかかって、空いたカゴを持っていってくださいました すごく助かりました。,1
優しく対応して頂きました！子供がいたので。,1
商品が沢山あって便利。,1
ルートビアがあれば毎日買います。,1
PBのペットシートの値上げ巾が大き過ぎ 他店の方が安くなってます 見直ししてもらえないですか？。,0
開店直後か、21:00過ぎでもないとレジで相当並ぶ レジ自体は10台以上あるよう 開放してるのは半分強 安いがゆえにみんな大量買い 近くのスーパー、セルフレジ6台、有人レジ2台 客数、購入量からしたらもっとレジ開放したほうがいいと思う 。,2
コカコーラの本数を増やして欲しい 。,1
コード決済ができるようにして欲しい(楽天ペイ、PayPayなど…),1
日用品、食品のクーポンを増やして欲しい 。,1
酒類を安くして下さい。,1
初めて三方原店に行ってみました食品売り場の商品が少なかったので残念でした 。,0
レジが2人体制だったので、とてもスムーズに終わりました 。,1
最近、レジの方の対応がとても良く感じます 。,1
最近、目玉商品が少ない気がします 。,0
従業員のSさんの笑顔応対等が良かった 気配りもできていました 質問にも、いつも答えていただき、ありがとうございます 。,1
特になし。,2
カードを出すのを忘れてしまったのですが、感じ良くすぐに対応してくださり、ありがとうございました。,1
良いですね！。,1
いつも利用させていただいてます 。,1
また広告の品の豚肉がなかった納豆もないしモッツァレラチーズもなかった最近のドンキはどうなってるんですか他の安い店に変えたほうがいいのかしらと思う。,2
レジ担当の方の対応が良かったです カートを使っていると狭くて通れない場所があるので、もう少し改善して頂けると助かります 。,1
久しぶりの八丁堀店でしたが楽しかったです。,1
品揃えが良い。,1
ドン・キはあまりにも同じミスが頻繁に起きすぎる!売り場での価格がレジに反映されていない事が20回位もあった こんな頻度は他の店では考えられない！。,0
いつもレジにお客さんが並んでる 時間帯を考慮してレジを開放して欲しい またアイスクリームが解けてることが多い 隣のレジでしたが、4つも交換してました 扉付きの冷凍庫に変えては？。,0
全体的に物価が高すぎる 韓国シャンプー安くして欲しい。,0
会計時にSSさんがLINEのお友達登録を勧めて下さりスマホの登録の方法も丁寧に教えてくれました ありがとうございました 。,1
特に無し。,2
買いたい商品の前で！お話しむかついた！邪魔で買わなかった。,0
天然水のお水が地下なので、1階にも置いてほしいですね お水が1階にないのは不思議です 。,2
栃尾の油揚げ置いて欲しいタレなし納豆も置いて欲しい。,2
エレベーター内の音楽のボリュームをもう少し下げてほしい。,0
特になし。,2
今日はいいや。,2
レジの人はいつも親切です。,1
今日のレジの店員さん感じ良かったですょ。,1
このページで応募するを押したあとのホームに戻るなどのボタンがないから戻るボタンで、１つづつ戻るになっている。,2
ソーセージやベーコンとかのクーポンを増やしてほしいです 。,1
Eさんって方めっちゃ遅かった… 二つレジ空いてて私よりも後ろの人の方が会計終わるの早かった 生活用品、一つづつこれはこれは丁寧にちっちゃい袋に入れてくださりめちゃくちゃイライラしました 前も当たって最悪でした 。,0
いつもお世話になっております。,1
レジが混んでいると、数を増やしてくれるので助かります。,1
すぐに聞ける店員さんが少ない気がします 。,2
今のまま品数豊富でお願いします。,1
サービスカウンターの女性の方がよかった。,1
みなさん対応は良い。,1
きき湯を安くしてほしい。,1
挨拶しない従業員がいた。,0
サラダの種類が減った 困る 店員さんはみんな親切です 。,2
日清焼きそばBIGUFOを販売して下さい。,1
週末でお客様がたくさんで混んでいましたが、レジ等はスムーズでした 。,1
サービスカウンターの人材の配置が最悪 サービスに人がいなかったので呼び出しボタンを押したがなかなか、来なかった そのあと、ギフトの包装を頼んだが、すぐに包装してもらえなかった しばらく待っていたが他のお客さんを接客していた 時間がかかる場合は、先に言って欲しい 王道キムチがなくなっていた 復活させて欲しい 。,0
商品が綺麗に並べられていた。,1
冷凍パスタの宣伝メールをいい加減にやめてほしい 目障り そんなことしなくても定期的に買っている 送る対象を間違えている 。,0
全てが良かった 。,1
レジの人数増やした方がいいです。,1
言葉つうじない。,2
特に無い。,2
ドン・キホーテ宗像店は、出来たばかりでもあり、他の店舗よりも商品が見やすく分かりやすいです 宗像に出来てくれた事に、感謝しかありません これからも利用させて頂きます！。,1
激辛冷麺、いつも品切れなので残念です 。,0
買い物後にカゴの返却するのに一度店内に戻る形になるのですが荷物入れてるお客さんが居ると狭くて返却がしずらいかと言って他に返却に使えそうなスペースも無さそうだから仕方ない気もする。,2
